objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Cryptid","246784","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","67315938","7.16133","7.42305","2.2599","343","24078","thing","Cryptid","3","5","50","50","30","2019","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Playagame Edizioni","Italian","2019","Italian first edition"
"Cthulhu Gloom","95234","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","22927120","5.85948","6.38194","1.7927","4256","6527","thing","Cthulhu Gloom","2","5","60","60","60","2011","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Atlas Games","English","2011","English edition"
"Curious Cargo","312251","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440227","6.28661","6.97706","3.2035","1951","6327","thing","Curious Cargo","2","2","60","60","30","2020","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Capstone Games","English","2020","English edition"
"Cuzco","249411","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","74377562","6.14152","7.41206","2.6515","2490","3271","thing","Cuzco","2","4","90","90","90","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2018","Italian edition"
"DC Deck-Building Game","125678","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","95303931","6.59599","7.05661","1.9934","1123","13568","thing","DC Deck-Building Game","2","5","45","45","45","2012","2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cryptozoic Entertainment","English","2012","English edition"
"DC Deck-Building Game: Crisis Expansion Pack 1","155428","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","95303932","5.98587","7.10332","2.4722","0","4295","thing","DC Deck-Building Game: Crisis Expansion Pack 1","1","5","120","120","120","2014","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Cryptozoic Entertainment","English","2014","English edition"
"Deckscape: Furto a Venezia","245045","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60487803","6.03326","6.63683","1.6216","3040","4054","thing","Deckscape: Heist in Venice","1","6","90","90","30","2018","2,3,4,5,6","6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2018","Italian edition"
"Deckscape: il Destino di Londra","230498","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50865513","5.81508","6.14702","1.9737","4692","4108","thing","Deckscape: The Fate of London","1","6","60","60","60","2017","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2017","Italian edition"
"Deckscape: Il Mistero di Eldorado","258451","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60487808","5.87515","6.38612","1.7188","4131","3425","thing","Deckscape: The Mystery of Eldorado","1","6","90","90","30","2018","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2018","Italian edition"
"Decrypto","225694","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309125","7.54614","7.7627","1.8253","117","47147","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","asmodee","Italian","2018","Italian edition"
"Destinies","285192","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","84553095","7.07632","7.63982","1.9161","417","18898","thing","Destinies","1","3","150","150","90","2021","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Lucky Duck Games","Italian","2021","Italian edition"
"Detective: A Modern Crime Board Game – Stand-Alone Case: Natural Causes","289917","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66424322","5.59233","7.40968","2.8","0","329","thing","Detective: A Modern Crime Board Game – Stand-Alone Case: Natural Causes","1","5","180","180","120","2019","1,2,3","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Portal Games","English","2019","English edition"
"Detective: A Modern Crime Board Game – Zahra Arvala / Mei Thompson","264414","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66424321","5.54301","7.17485","0","0","446","thing","Detective: A Modern Crime Board Game – Zahra Arvala / Mei Thompson","1","5","180","180","120","2018","","","","","","","","","","expansion","","","","","","","","","","","","Portal Games","English","2018","English edition"
"Detective: Crimini a L.A.","264005","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66424325","6.23976","7.69781","3","0","5476","thing","Detective:  L.A. Crimes","1","5","180","180","120","2019","1,2,3,4","2,3","16+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Pendragon Game Studio","Italian","2019","Italian edition"
"Detective: sulla scena del crimine","223321","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309203","7.14975","7.59567","2.7438","351","24701","thing","Detective: A Modern Crime Board Game","1","5","180","180","120","2018","1,2,3,4","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Pendragon Game Studio","Italian","2018","Italian edition"
"Detective: sulla scena del crimine – Caso 6: Suburbia","262328","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66204521","5.75982","7.29861","2.25","0","1588","thing","Detective: A Modern Crime Board Game – Case 6: Suburbia","1","5","120","120","90","2019","1,2,3,4","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Pendragon Game Studio","Italian","2019","Italian edition"
"Dice Forge","194594","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50865864","7.00456","7.20979","1.9727","508","39346","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asterion Press","Italian","2017","Italian edition"
"Die Siedler von Catan Ergänzungs-Set für 5 und 6 Spieler","2807","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","6985167","6.69006","6.98199","2.3106","0","57198","thing","Catan: 5-6 Player Expansion","5","6","120","120","120","2007","4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","KOSMOS","German","2007","German third edition with KOSMOS logo on the left"
"Die Siedler von Catan: Das Würfelspiel","27710","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","8638113","5.63847","5.73306","1.2269","7961","19775","thing","Catan Dice Game","1","4","30","30","15","2010","1,2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2010","German edition 2010"
"Dinoland","9362","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54390059","0","5.99012","0","0","39","thing","Dinoland","2","4","60","60","60","1993","","","","","311","","","2193","","standalone","","","","","","","","","","","","","","",""
"Diplomacy","483","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","9404385","6.71569","7.03383","3.3223","894","25954","thing","Diplomacy","2","7","360","360","360","2008","6,7","7","14+","No necessary in-game text","","","","","","standalone","","15","EUR","","","2009-10-31","","1","","","","Avalon Hill","English","2008","50th anniversary edition"
"Disc Cover","366067","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133411462","5.61127","6.47132","1.1","8999","824","thing","Disc Cover","3","8","20","20","20","2022","3,4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange (EU)","Dutch; English; French; German; Italian; Portuguese; Russian; Spanish","2022","Multilingual edition"
"Discworld: Ankh-Morpork","91312","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","25569373","6.87014","7.25798","2.2069","660","13324","thing","Discworld: Ankh-Morpork","2","4","60","60","60","2011","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Treefrog Games","English","2011","Treefrog English Collector's Edition"
"Disney Villainous: The Worst Takes it All","256382","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63495138","6.67297","6.90364","2.4802","971","55387","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Wonder Forge","English","2018","English first edition"
"Disney Villainous: Wicked to the Core","271518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63495150","6.76772","7.47669","2.375","819","21919","thing","Disney Villainous: Wicked to the Core","2","3","60","60","40","2019","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Ravensburger AG","English","2019","English edition"
"Dixit 2","55660","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","17296598","7.09179","7.66171","1.229","0","18716","thing","Dixit: Quest","3","6","30","30","30","2012","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","15","EUR","","","2012-11-03","","1","","","","Libellud","Czech; Dutch; English; French; German; Greek; Italian; Japanese; Polish; Portuguese; Spanish","2012","Libellud multilingual edition 2012"
"Dixit: Odyssey","92828","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","15470825","7.13955","7.37628","1.1594","362","35503","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Libellud","English","2011","Libellud English first edition"
"Dobble","63268","10","0","0","1","0","0","0","0","0","0","0","1","","","","","","64680017","6.3546","6.52064","1.0372","1717","52045","thing","Spot it!","2","8","15","15","15","2012","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asterion Press","Italian","2012","Italian edition 2012"
"Dogma: A clash of religions","294666","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","67315951","0","6.36","0","0","59","thing","Dogma: A clash of religions","2","4","60","60","30","2019","2,3,4","2,3","","","","","","","","standalone","","","","","","","","","","","","Freak & Chic LLC; Studio Supernova","Italian","2019","Italian edition"
"Domination","789","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","6985849","5.75585","6.47343","2.3836","5437","1826","thing","Focus","2","4","45","45","45","1982","2,3,4","2,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Milton Bradley","English","1982","MB English edition"
"Dominion","36218","10","7","0","1","0","0","0","0","0","0","0","3","","","","","","9561670","7.47291","7.59708","2.344","146","131827","thing","Dominion","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Stupor Mundi","Italian","2009","Italian edition"
"Dominion: Alchemy","66098","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","9911856","6.58094","6.92292","2.4448","0","21413","thing","Dominion: Alchemy","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Rio Grande Games","English","2010","English edition, first printing"
"Dominion: Intrigo","40834","10","3","0","1","0","0","0","0","0","0","0","1","","","","","","9911828","7.49867","7.68528","2.4103","135","51686","thing","Dominion: Intrigue","2","6","30","30","30","2010","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Stupor Mundi","Italian","2010","Italian first edition"
"Dominion: Seaside","51811","9.5","4","0","1","0","0","0","0","0","0","0","1","","","","","","9911829","7.64662","8.01281","2.4897","0","36016","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Stupor Mundi","Italian","2009","Italian edition"
"Don't wake up Cthulhu!","320135","0","0","0","1","0","0","0","0","0","0","0","1","","Regalato da Max per doppio acquisto","","","","145844242","5.49353","5.61263","1.4","27909","313","thing","Don't wake up Cthulhu!","3","6","30","30","5","2020","4,5,6","6","","","0","","","2193","","standalone","","","","","","","","","","","","","","",""
"Dorfromantik: The Board Game","370591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410499","7.1751","7.58071","1.6339","331","25655","thing","Dorfromantik: The Board Game","1","6","60","60","30","2023","1,2,3","1,2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","English","2023","English edition"
"Dragonlance: Warriors of Krynn","361552","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","106677391","5.5514","6.35814","3.1667","13279","1532","thing","Dragonlance: Warriors of Krynn","3","5","90","90","60","2023","1,2,3,4,5","2,3,4","12","","","","","","","standalone","","","","","","","","","","","","Wizards of the Coast","English","2023","English edition"
"Dune","283355","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","78052442","7.35169","7.91108","3.9771","213","23040","thing","Dune","2","6","180","180","120","2019","5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Gale Force Nine, LLC","English","2019","English edition"
"Dune: I segreti della Casa","329713","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410336","5.37254","5.01571","1.36","31162","3076","thing","Dune: House Secrets","1","4","180","180","90","2022","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","Regalo Daniele,marti,iannez,miki","","","Pendragon Game Studio; Portal Games","Italian","2022","Italian edition"
"Dune: Imperium","316554","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410330","8.21778","8.40614","3.0791","7","79677","thing","Dune: Imperium","1","4","120","120","60","2021","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Dire Wolf","Italian","2021","Italian edition"
"Dungeon Bazar","160608","0","0","0","1","0","0","0","0","0","0","0","3","","With Custom art and Signature","","","","25516320","5.5146","5.76128","2.2857","21579","492","thing","Dungeon Bazar","2","5","50","50","50","2014","3,4,5","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Cranio Creations","English; Italian","2014","English/Italian first edition"
"Dungeon Bazar: Merchant Tile","170193","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","78526959","0","5.55556","0","0","40","thing","Dungeon Bazar: Merchant Tile","2","5","50","50","50","2014","","","","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2014","Dungeon Bazar Merchant Tile"
"Dungeon Drop Deluxe","262208","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","84262627","6.03056","6.66966","1.3556","3057","6527","thing","Dungeon Drop","1","4","20","20","10","2020","1,2,3,4","2,3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Phase Shift Games","English","2020","English deluxe edition"
"Dungeon Drop: Gelatinous Cubes Mini-Expansion","315908","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","84262641","5.55033","7.27873","1","0","979","thing","Dungeon Drop: Gelatinous Cubes Mini-Expansion","1","4","20","20","10","2020","2,3,4","3","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Phase Shift Games","English","2020","English edition"
"Dungeon Drop: Mysterious Shiny Purple Cubes Mini-Expansion","315948","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","84262644","5.53945","7.07463","1","0","930","thing","Dungeon Drop: Mysterious Shiny Purple Cubes Mini-Expansion","1","4","20","20","10","2020","2,3,4","3","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Phase Shift Games","English","2020","English edition"
"Dungeon Fighter","102548","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","19712328","6.41473","6.77726","1.7601","1559","10171","thing","Dungeon Fighter","1","6","60","60","45","2011","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","49","EUR","","","","Goblin","1","","","","Cranio Creations; Horrible Guild","Italian","2011","Italian edition"
"Dungeoneer: La Fossa dei Demoni","8207","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","10165416","5.77416","6.31058","2.2376","5160","3194","thing","Dungeoneer: Vault of the Fiends","2","4","30","30","30","2003","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","3242","","","2193","","standalone","","20","EUR","","","2010-03-14","","","","","","","","",""
"Dungeoneer: La Tomba del Signore dei Lich","5576","6","0","0","1","0","0","0","0","0","0","0","2","","","","","","9812344","5.80211","6.11294","2.1926","4823","5218","thing","Dungeoneer: Tomb of the Lich Lord","2","4","60","60","60","2003","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","3242","","","2193","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: The Yawning Portal","367820","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106677423","5.78123","7.07852","2.0417","5089","2271","thing","Dungeons & Dragons: The Yawning Portal","1","4","60","60","30","2023","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","45","EUR","","","2023-05-21","","","","","","Avalon Hill","English","2023","English edition"
"Duplik","22348","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","145844101","6.23172","6.97091","1.2087","2135","4440","thing","Duplik","3","10","45","45","45","2016","3,4,5,6,7,8,9,10","5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Asterion Press","Italian","2016","Italian second edition"
"Dust","29109","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","22927137","5.83057","6.41016","2.6104","4529","2916","thing","Dust","2","6","180","180","60","2007","2,3,4,5,6","4,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Dust Games; Editrice Giochi; Fantasy Flight Games","English","2007","English edition"
"Echoes of Time","441850","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","145844033","6.1107","7.18461","2.4583","2633","2684","thing","Echoes of Time","2","4","60","60","30","2025","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","2026-05-24","","","","","","Cranio Creations","Italian","2025","Italian edition"
"Eclipse: New Dawn for the Galaxy","72125","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","15622194","7.58236","7.81544","3.7057","107","28397","thing","Eclipse: New Dawn for the Galaxy","2","6","180","180","60","2012","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Lautapelit.fi","English","2012","English second edition"
"Einfach Genial: Wer zu viel riskiert, verliert!","36745","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","8896838","5.44617","5.30703","1.1515","30828","1611","thing","Simply Ingenious","2","4","20","20","20","2008","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2008","German first edition 2008"
"Eldritch Horror","146021","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","23754717","7.49005","7.74295","3.3165","140","60917","thing","Eldritch Horror","1","8","240","240","120","2014","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games; Giochi Uniti","Italian","2014","Italian edition"
"Endeavor:  Le Rotte dell'Impero","233398","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55591213","7.35314","7.83826","2.8508","211","13006","thing","Endeavor: Age of Sail","2","5","90","90","60","2018","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Cranio Creations","Italian","2018","Italian edition"
"Endless Winter: Paleoamericans","305096","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309521","7.15299","7.6112","3.327","349","18406","thing","Endless Winter: Paleoamericans","1","4","120","120","60","2022","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fantasia Games","English","2022","English Kickstarter edition"
"Escape from the Aliens in Outer Space","82168","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","14638256","6.45123","6.90843","1.9758","1461","9678","thing","Escape from the Aliens in Outer Space","2","8","45","45","20","2010","4,5,6,7,8","6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Cranio Creations; Santa Ragione","English; Italian","2010","English/Italian edition"
"Escape Room: il gioco","204836","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60487662","6.37274","6.86132","2.2542","1679","10122","thing","Escape Room: The Game","3","5","60","60","60","2019","1,2,3,4","3","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Cranio Creations","Italian","2019","Italian edition"
"Escape Room: il gioco – Benvenuti a Funland","216961","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60487669","5.75138","6.81152","2.5","0","2383","thing","Escape Room: The Game – Welcome to Funland","3","5","60","60","60","2019","2,3,4","3,4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Cranio Creations","Italian","2019","Italian edition"
"Escape Room: il gioco – Misteri Mortali","215409","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60487664","5.68619","6.52362","2","0","2357","thing","Escape Room: The Game – Murder Mystery","3","5","60","60","60","2019","2,3,4","3","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Cranio Creations","Italian","2019","Italian edition"
"Escape Room: The Game – Puzzle Adventures: Secret of The Scientist","337690","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410392","5.77299","7.44282","1.8","5177","979","thing","Escape Room: The Game – Puzzle Adventures: Secret of The Scientist","1","2","150","150","150","2021","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room: The Game – Puzzle Adventures: The Baron, The Witch & The Thief","352687","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410422","5.62735","7.29891","1.6667","8313","556","thing","Escape Room: The Game – Puzzle Adventures: The Baron, The Witch & The Thief","1","2","150","150","150","2021","1,2","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506419","7.79882","7.97367","2.8347","46","108211","thing","Everdell","1","4","80","80","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Starling Games (II)","Italian","2019","Italian edition"
"Everdell: Bellfaire","289057","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506426","7.15422","8.01101","2.8125","0","21431","thing","Everdell: Bellfaire","1","6","120","120","40","2021","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Starling Games (II)","Italian","2021","Italian edition"
"Everdell: Collector's Edition","319422","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506433","7.02296","8.48241","2.8615","0","7756","thing","Everdell: Collector's Edition","1","4","80","80","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Starling Games (II)","Italian","2019","Italian edition 2019"
"Everdell: Glimmergold Pack","289405","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506448","6.01174","8.10589","2.8","0","2768","thing","Everdell: Glimmergold Pack","1","4","80","80","40","2019","","","8+","","","","","","","expansion","","","","","","","","","","","","Starling Games (II)","English","2019","English first edition"
"Everdell: Mistwood","332397","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506436","6.26003","7.98532","2.8947","0","9083","thing","Everdell: Mistwood","1","4","100","100","40","2022","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Starling Games (II)","English","2022","English edition"
"Everdell: Newleaf","332390","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506428","6.98733","8.50681","3.0943","0","12254","thing","Everdell: Newleaf","1","4","100","100","40","2022","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Starling Games (II)","English","2022","English edition"
"Everdell: Pearlbrook","259996","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506421","6.85286","7.6028","2.8765","0","17856","thing","Everdell: Pearlbrook","1","4","80","80","40","2019","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Starling Games (II)","English","2019","English first edition"
"Everdell: Spirecrest","289056","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506424","7.21873","8.26306","3.0722","0","16067","thing","Everdell: Spirecrest","1","4","100","100","40","2019","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Starling Games (II)","English","2019","English standard edition"
"Everdell: The Complete Collection","332398","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107506414","7.52203","8.76321","3.1071","0","13893","thing","Everdell: The Complete Collection","1","6","120","120","40","2022","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Starling Games (II)","English","2022","English edition"
"Fabula","68227","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","12603329","5.5298","5.76268","1.4783","16947","837","thing","Fabula","3","8","30","30","30","2010","3,4,5,6,7,8","6","6+","No necessary in-game text","","","","","","standalone","","25","EUR","","","2011-03-26","","1","","","","Libellud","English; French; German; Italian; Spanish","2010","Libellud multilingual edition"
"Factory Fun","24417","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","19712312","6.27195","6.78843","2.5016","1991","3440","thing","Factory Fun","2","5","45","45","45","2010","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","29","EUR","","","","Goblin","1","","","","Z-Man Games","English","2010","Z-Man edition"
"Fallout","232918","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","53077389","6.4953","6.91595","3.0033","1355","20109","thing","Fallout","1","4","180","180","120","2017","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2017","English edition"
"Fiesta de los Muertos","285253","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","95303874","6.13825","6.96295","1.093","2507","3765","thing","Fiesta de los Muertos","4","8","15","15","15","2021","4,5,6,7,8","6,7,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Playagame Edizioni; OldChap Games","Italian","2021","Italian edition"
"Fishing","419195","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410309","6.55607","7.22129","1.8657","1208","7763","thing","Fishing","3","5","60","60","40","2024","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2024","English edition"
"Florenza","81640","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","81790252","6.07778","7.35473","3.7379","2802","1840","thing","Florenza","2","5","120","120","90","2014","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Golden Egg Games; HC Distribuzione; Heidelberger Spieleverlag; Placentia Games; Post Scriptum","English; German; Italian","2014","Multilingual second edition"
"Forbidden Island","65244","9","3","2","1","0","0","0","0","0","0","0","3","","","","","","11414288","6.63763","6.74805","1.7401","1044","102331","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","15","USD","","","2010-10-19","","1","","","","Gamewright","English","2010","English edition 051210"
